localidade,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Região Norte,7582,7879,8097,8385,8093,7779,7727,7984,8377,8376,8742,8566,8877,8776,9013,9365,10152,10413,11672,10459,11526,13124,13904,15218,230086
Rondônia,674,639,651,628,630,519,548,564,680,572,685,692,711,686,665,775,776,674,742,597,672,730,890,950,16350
Acre,364,368,368,356,329,391,314,314,364,347,392,409,406,462,361,450,484,485,583,604,599,628,650,648,10676
Amazonas,2334,2286,2375,2559,2477,2432,2461,2688,2606,2764,2686,2842,3060,3143,3404,3259,3694,3802,3955,3514,3946,4601,4938,5481,77307
Roraima,150,172,206,218,155,147,137,155,145,152,171,137,167,148,174,160,205,269,303,313,350,457,546,524,5561
Pará,3517,3785,3940,4089,3975,3789,3763,3790,4106,4104,4334,4048,4119,3940,3991,4224,4509,4669,5500,4905,5270,5925,6117,6789,107198
Amapá,223,296,273,275,274,245,273,266,253,221,259,253,220,211,225,287,298,284,353,319,430,519,513,582,7352
Tocantins,320,333,284,260,253,256,231,207,223,216,215,185,194,186,193,210,186,230,236,207,259,264,250,244,5642
Região Nordeste,25602,26194,27511,27598,27821,24713,24134,24461,24872,23853,24385,23729,23073,22390,22202,22545,23815,25230,25038,22231,23817,27223,27927,28102,598466
Maranhão,2901,3043,2980,2974,3179,2883,2780,2464,2462,2414,2505,2185,2278,2111,2238,2442,2469,2649,2657,2486,2885,3201,3384,3595,65165
Piauí,1568,1519,1448,1563,1551,1306,1357,1224,1108,994,1002,921,908,813,754,812,790,892,873,798,888,925,1049,1039,26102
Ceará,4240,4385,4586,4461,4656,4140,4161,4473,4664,4315,4398,4236,4052,3879,4012,4045,4291,4569,4543,3845,4124,4768,4763,4703,104309
Rio Grande do Norte,1158,1179,1354,1373,1356,1163,1112,1211,1185,1109,1269,1208,1273,1187,1156,1182,1357,1630,1426,1643,1359,1751,1487,1483,31611
Paraíba,1369,1395,1465,1508,1482,1122,1182,1324,1320,1327,1413,1426,1429,1312,1250,1215,1342,1529,1464,1300,1438,1604,1778,1791,33785
Pernambuco,4542,4870,5153,5451,5319,4898,4835,4995,5028,5175,5390,5696,5420,5443,5649,5513,5985,5956,6140,5547,6068,7085,7440,7424,135022
Alagoas,1332,1351,1426,1422,1507,1356,1380,1408,1448,1368,1327,1358,1324,1245,1068,1236,1262,1349,1289,1052,1092,1189,1328,1322,31439
Sergipe,557,599,664,634,834,697,593,695,686,630,669,617,710,788,771,800,833,986,1011,884,904,1186,1163,1031,18942
Bahia,7935,7853,8435,8212,7937,7148,6734,6667,6971,6521,6412,6082,5679,5612,5304,5300,5486,5670,5635,4676,5059,5514,5535,5714,152091
Região Sudeste,39740,44052,42877,42031,41127,38982,38592,39854,38499,38379,39495,38418,38467,38581,39203,39546,41243,43031,41202,38583,40743,45670,49204,50625,988144
Minas Gerais,1331,5886,5982,6086,5926,5369,5311,5188,4851,4443,4626,4257,4200,4193,4055,4073,4052,4241,4332,3945,4005,4732,5164,5389,111637
Espírito Santo,1658,1569,1563,1529,1448,1353,1432,1537,1427,1478,1450,1462,1384,1314,1395,1239,1402,1488,59,1427,1620,1848,2134,2216,35432
Rio de Janeiro,16976,16789,16130,15832,15325,14200,14206,14676,14390,14241,14331,14018,13349,13095,13367,13645,13929,14857,15024,13670,15088,16106,16951,17208,357403
São Paulo,19775,19808,19202,18584,18428,18060,17643,18453,17831,18217,19088,18681,19534,19979,20386,20589,21860,22445,21787,19541,20030,22984,24955,25812,483672
Região Sul,10150,10818,11143,11070,10916,9807,10421,10700,10910,11020,11300,11168,11266,11174,11026,10678,10922,11476,11897,10497,10863,12265,13124,13460,268071
Paraná,3224,3436,3454,3294,3418,2832,3059,2991,2808,2770,2722,2534,2650,2554,2466,2436,2408,2733,2667,2630,2500,2801,2937,3067,68391
Santa Catarina,1695,1873,1903,1870,1837,1820,1866,2022,2002,2070,2218,2229,2268,2248,2180,2199,2204,2261,2237,1841,2074,2534,2801,2874,51126
Rio Grande do Sul,5231,5509,5786,5906,5661,5155,5496,5687,6100,6180,6360,6405,6348,6372,6380,6043,6310,6482,6993,6026,6289,6930,7386,7519,148554
Região Centro-Oeste,4191,3917,4145,3896,4099,3751,3726,3770,3663,3757,3896,4308,4529,4295,4018,4076,4162,4585,4640,4192,4361,5048,5695,5583,102303
Mato Grosso do Sul,980,914,1022,1034,1053,882,963,1019,1044,943,1047,1091,1098,998,1003,1130,1145,1463,1434,1400,1542,1873,2097,1895,29070
Mato Grosso,1425,1248,1267,1148,1344,1310,1170,1280,1158,1368,1371,1605,1886,1794,1442,1456,1429,1419,1523,1271,1244,1410,1587,1739,33894
Goiás,1148,1149,1242,1089,1081,976,959,953,1012,1016,989,1058,1072,991,1095,1027,1170,1221,1193,1107,1180,1301,1452,1311,26792
Distrito Federal,638,606,614,625,621,583,634,518,449,430,489,554,473,512,478,463,418,482,490,414,395,464,559,638,12547
